Date,eu_retail_trade_exclude_automobile_index,eu_retail_sale_consumer_fashion_goods_index,us_retail_trade_clothing_store_sales_usdM
2018-09,107.4,101.6,21963
2018-10,108.1,102.5,22426
2018-11,108.4,104.4,22492
2018-12,108.5,103.9,22169
2019-01,108.9,103.8,22050
2019-02,109.3,106.1,22128
2019-03,109.5,105.1,22430
2019-04,110.2,104.6,22353
2019-05,108.9,101.8,22168
2019-06,110.5,106,22150
2019-07,110.4,103.2,22519
2019-08,110.6,104,22470
2019-09,110.8,104.3,22248
2019-10,110.6,103.5,22297
2019-11,111.1,105.2,22250
2019-12,111.4,103.4,23168
2020-01,112,104.6,22816
2020-02,112.4,103.8,22656
2020-03,101.8,47.4,11402
2020-04,91,23.2,2849
2020-05,106.7,65.7,8260
2020-06,112,86.8,17088
2020-07,111.8,87.6,17892
2020-08,115.2,97.9,18192
2020-09,113.8,95.1,20550
2020-10,115.5,91.7,20051
2020-11,109.6,65.9,19084
2020-12,113.3,79.2,19976
2021-01,107.1,74.5,20710
2021-02,111.1,81.6,19774
2021-03,115,74.2,24049
2021-04,111.4,60.5,23962
2021-05,116.4,87.3,24616
2021-06,118.8,93.2,25570
2021-07,116.7,90.7,25047
2021-08,117.6,92.2,24593
2021-09,117.2,92.1,24881
2021-10,118.5,95.1,25030
2021-11,119.2,90.9,25715
2021-12,117.8,89.4,24873
2022-01,117.9,86.9,24278
2022-02,118.6,91.4,25096
2022-03,119,86.6,26107
2022-04,118.3,85.5,26174
2022-05,118.1,,25716
2022-06,116.4,,25930
2022-07,116.1,,25318
2022-08,116.6,,25708
2022-09,117.6,,25964
2022-10,115.8,,26018
2022-11,116.3,,25856
2022-12,115,,25374
2023-01,115.8,,26534
2023-02,115.4,,25949
2023-03,114.9,,25616
2023-04,114.9,,25652
2023-05,115.2,,25697
2023-06,115.2,,25736
2023-07,115.1,,26052
2023-08,114.6,,26314
2023-09,114.6,,25995
2023-10,115.2,,25958
2023-11,115.5,,26262
2023-12,114.4,,26625
